Conc(uM),Cell_Line,Cell_Viability,Plate#
10.41,10336,1.19563,1.1
3.123,10336,1.133195,1.1
1.041,10336,1.125911,1.1
0.3123,10336,1.069719,1.1
0.1041,10336,1.069719,1.1
0.03123,10336,0.989594,1.1
0.01041,10336,1.068678,1.1
0.003123,10336,1.044745,1.1
0.001041,10336,1.077003,1.1
0.0003123,10336,0.835588,1.1
0.0001041,10336,0.987513,1.1
3.12E-05,10336,1.01769,1.1
1.04E-05,10336,1.156087,1.1
10.41,10336,1.131263,1.2
3.123,10336,1.082164,1.2
1.041,10336,1.136273,1.2
0.3123,10336,1.038076,1.2
0.1041,10336,1.089178,1.2
0.03123,10336,1.083166,1.2
0.01041,10336,1.032064,1.2
0.003123,10336,0.962926,1.2
0.001041,10336,1.096192,1.2
0.0003123,10336,0.877756,1.2
0.0001041,10336,0.972946,1.2
3.12E-05,10336,0.90481,1.2
1.04E-05,10336,1.129259,1.2
10.41,10336,1.062557,1.3
3.123,10336,1.010879,1.3
1.041,10336,1.023572,1.3
0.3123,10336,0.933817,1.3
0.1041,10336,1.013599,1.3
0.03123,10336,0.958296,1.3
0.01041,10336,0.824116,1.3
0.003123,10336,0.941976,1.3
0.001041,10336,0.99728,1.3
0.0003123,10336,0.798731,1.3
0.0001041,10336,0.783318,1.3
3.12E-05,10336,0.963735,1.3
1.04E-05,10336,1.065277,1.3
10.41,10336,1.045086,1.4
3.123,10336,1.073039,1.4
1.041,10336,0.977457,1.4
0.3123,10336,1.093778,1.4
0.1041,10336,0.969342,1.4
0.03123,10336,0.81064,1.4
0.01041,10336,0.870153,1.4
0.003123,10336,0.880072,1.4
0.001041,10336,0.899008,1.4
0.0003123,10336,0.784491,1.4
0.0001041,10336,0.984671,1.4
3.12E-05,10336,0.946799,1.4
1.04E-05,10336,1.08927,1.4
10.41,10336,1.208374,1.5
3.123,10336,1.093476,1.5
1.041,10336,1.126582,1.5
0.3123,10336,1.030185,1.5
0.1041,10336,1.105161,1.5
0.03123,10336,0.986368,1.5
0.01041,10336,1.045764,1.5
0.003123,10336,1.05258,1.5
0.001041,10336,1.06037,1.5
0.0003123,10336,0.866602,1.5
0.0001041,10336,0.963973,1.5
3.12E-05,10336,1.050633,1.5
1.04E-05,10336,1.144109,1.5
10.41,10336,0.983392,1.6
3.123,10336,0.957168,1.6
1.041,10336,0.931818,1.6
0.3123,10336,0.987762,1.6
0.1041,10336,0.922203,1.6
0.03123,10336,0.912587,1.6
0.01041,10336,0.906469,1.6
0.003123,10336,0.868881,1.6
0.001041,10336,1.012238,1.6
0.0003123,10336,0.804196,1.6
0.0001041,10336,0.880245,1.6
3.12E-05,10336,0.95542,1.6
1.04E-05,10336,0.992133,1.6
10.41,10004,0.397781,1.1
3.123,10004,0.470681,1.1
1.041,10004,0.486529,1.1
0.3123,10004,0.424723,1.1
0.1041,10004,0.40729,1.1
0.03123,10004,0.456418,1.1
0.01041,10004,0.494453,1.1
0.003123,10004,0.494453,1.1
0.001041,10004,0.59588,1.1
0.0003123,10004,0.740095,1.1
0.0001041,10004,0.906498,1.1
3.12E-05,10004,0.874802,1.1
1.04E-05,10004,1.007924,1.1
10.41,10004,0.3696,1.2
3.123,10004,0.4608,1.2
1.041,10004,0.52,1.2
0.3123,10004,0.4352,1.2
0.1041,10004,0.4752,1.2
0.03123,10004,0.4768,1.2
0.01041,10004,0.4944,1.2
0.003123,10004,0.5488,1.2
0.001041,10004,0.6112,1.2
0.0003123,10004,0.76,1.2
0.0001041,10004,0.96,1.2
3.12E-05,10004,0.9792,1.2
1.04E-05,10004,0.9904,1.2
10.41,10004,0.371069,1.3
3.123,10004,0.474843,1.3
1.041,10004,0.534591,1.3
0.3123,10004,0.470126,1.3
0.1041,10004,0.498428,1.3
0.03123,10004,0.476415,1.3
0.01041,10004,0.47956,1.3
0.003123,10004,0.52044,1.3
0.001041,10004,0.61478,1.3
0.0003123,10004,0.805031,1.3
0.0001041,10004,0.795597,1.3
3.12E-05,10004,0.948113,1.3
1.04E-05,10004,1.036164,1.3
10.41,10004,0.464506,1.4
3.123,10004,0.506173,1.4
1.041,10004,0.521605,1.4
0.3123,10004,0.441358,1.4
0.1041,10004,0.507716,1.4
0.03123,10004,0.46142,1.4
0.01041,10004,0.483025,1.4
0.003123,10004,0.566358,1.4
0.001041,10004,0.564815,1.4
0.0003123,10004,0.851852,1.4
0.0001041,10004,0.964506,1.4
3.12E-05,10004,0.953704,1.4
1.04E-05,10004,0.975309,1.4
10.41,10004,0.437594,1.5
3.123,10004,0.440602,1.5
1.041,10004,0.487218,1.5
0.3123,10004,0.427068,1.5
0.1041,10004,0.457143,1.5
0.03123,10004,0.449624,1.5
0.01041,10004,0.497744,1.5
0.003123,10004,0.500752,1.5
0.001041,10004,0.628571,1.5
0.0003123,10004,0.806015,1.5
0.0001041,10004,0.936842,1.5
3.12E-05,10004,0.957895,1.5
1.04E-05,10004,0.954887,1.5
10.41,10004,0.42033,1.6
3.123,10004,0.436813,1.6
1.041,10004,0.453297,1.6
0.3123,10004,0.394231,1.6
0.1041,10004,0.384615,1.6
0.03123,10004,0.377747,1.6
0.01041,10004,0.446429,1.6
0.003123,10004,0.446429,1.6
0.001041,10004,0.549451,1.6
0.0003123,10004,0.674451,1.6
0.0001041,10004,0.850275,1.6
3.12E-05,10004,0.853022,1.6
1.04E-05,10004,0.917582,1.6
10.41,10250,0.511831,1.1
3.123,10250,0.592777,1.1
1.041,10250,0.632628,1.1
0.3123,10250,0.518057,1.1
0.1041,10250,0.581569,1.1
0.03123,10250,0.570361,1.1
0.01041,10250,0.570361,1.1
0.003123,10250,0.58655,1.1
0.001041,10250,0.622665,1.1
0.0003123,10250,0.799502,1.1
0.0001041,10250,0.876712,1.1
3.12E-05,10250,0.815691,1.1
1.04E-05,10250,0.932752,1.1
10.41,10250,0.416565,1.2
3.123,10250,0.53715,1.2
1.041,10250,0.578563,1.2
0.3123,10250,0.517661,1.2
0.1041,10250,0.534714,1.2
0.03123,10250,0.521315,1.2
0.01041,10250,0.565164,1.2
0.003123,10250,0.522533,1.2
0.001041,10250,0.634592,1.2
0.0003123,10250,0.690621,1.2
0.0001041,10250,0.807552,1.2
3.12E-05,10250,0.789281,1.2
1.04E-05,10250,0.9257,1.2
10.41,10250,0.396594,1.3
3.123,10250,0.548662,1.3
1.041,10250,0.572993,1.3
0.3123,10250,0.491484,1.3
0.1041,10250,0.555961,1.3
0.03123,10250,0.546229,1.3
0.01041,10250,0.527981,1.3
0.003123,10250,0.592457,1.3
0.001041,10250,0.609489,1.3
0.0003123,10250,0.733577,1.3
0.0001041,10250,0.745742,1.3
3.12E-05,10250,0.850365,1.3
1.04E-05,10250,0.872263,1.3
10.41,10250,0.547239,1.4
3.123,10250,0.655215,1.4
1.041,10250,0.63681,1.4
0.3123,10250,0.56319,1.4
0.1041,10250,0.564417,1.4
0.03123,10250,0.604908,1.4
0.01041,10250,0.555828,1.4
0.003123,10250,0.617178,1.4
0.001041,10250,0.680982,1.4
0.0003123,10250,0.803681,1.4
0.0001041,10250,0.912883,1.4
3.12E-05,10250,0.90184,1.4
1.04E-05,10250,0.927607,1.4
10.41,10250,0.497658,1.5
3.123,10250,0.537471,1.5
1.041,10250,0.546838,1.5
0.3123,10250,0.51171,1.5
0.1041,10250,0.543326,1.5
0.03123,10250,0.515222,1.5
0.01041,10250,0.567916,1.5
0.003123,10250,0.535129,1.5
0.001041,10250,0.648712,1.5
0.0003123,10250,0.728337,1.5
0.0001041,10250,0.82904,1.5
3.12E-05,10250,0.796253,1.5
1.04E-05,10250,0.934426,1.5
10.41,10250,0.478009,1.6
3.123,10250,0.517361,1.6
1.041,10250,0.601852,1.6
0.3123,10250,0.484954,1.6
0.1041,10250,0.498843,1.6
0.03123,10250,0.49537,1.6
0.01041,10250,0.534722,1.6
0.003123,10250,0.625,1.6
0.001041,10250,0.648148,1.6
0.0003123,10250,0.771991,1.6
0.0001041,10250,0.881944,1.6
3.12E-05,10250,0.914352,1.6
1.04E-05,10250,0.872685,1.6
10.41,20003,0.891034,1.1
3.123,20003,0.926897,1.1
1.041,20003,1.001379,1.1
0.3123,20003,0.953103,1.1
0.1041,20003,0.870345,1.1
0.03123,20003,0.94069,1.1
0.01041,20003,0.976552,1.1
0.003123,20003,0.96,1.1
0.001041,20003,0.977931,1.1
0.0003123,20003,0.994483,1.1
0.0001041,20003,1.041379,1.1
3.12E-05,20003,0.98069,1.1
1.04E-05,20003,1.048276,1.1
10.41,20003,0.819188,1.2
3.123,20003,0.897909,1.2
1.041,20003,0.910209,1.2
0.3123,20003,0.852399,1.2
0.1041,20003,0.787208,1.2
0.03123,20003,0.816728,1.2
0.01041,20003,0.861009,1.2
0.003123,20003,0.814268,1.2
0.001041,20003,0.916359,1.2
0.0003123,20003,0.863469,1.2
0.0001041,20003,0.921279,1.2
3.12E-05,20003,0.857319,1.2
1.04E-05,20003,0.899139,1.2
10.41,20003,0.815534,1.3
3.123,20003,0.923544,1.3
1.041,20003,0.924757,1.3
0.3123,20003,0.842233,1.3
0.1041,20003,0.825243,1.3
0.03123,20003,0.813107,1.3
0.01041,20003,0.839806,1.3
0.003123,20003,0.871359,1.3
0.001041,20003,0.859223,1.3
0.0003123,20003,0.925971,1.3
0.0001041,20003,0.889563,1.3
3.12E-05,20003,0.850728,1.3
1.04E-05,20003,0.866505,1.3
10.41,20003,0.88129,1.4
3.123,20003,0.993548,1.4
1.041,20003,0.96,1.4
0.3123,20003,0.887742,1.4
0.1041,20003,0.909677,1.4
0.03123,20003,0.931613,1.4
0.01041,20003,0.952258,1.4
0.003123,20003,0.975484,1.4
0.001041,20003,0.978065,1.4
0.0003123,20003,1.083871,1.4
0.0001041,20003,1.067097,1.4
3.12E-05,20003,0.965161,1.4
1.04E-05,20003,1.033548,1.4
10.41,20003,0.855596,1.5
3.123,20003,0.884477,1.5
1.041,20003,0.919374,1.5
0.3123,20003,0.831528,1.5
0.1041,20003,0.847172,1.5
0.03123,20003,0.948255,1.5
0.01041,20003,0.861613,1.5
0.003123,20003,0.908544,1.5
0.001041,20003,0.895307,1.5
0.0003123,20003,0.926594,1.5
0.0001041,20003,0.948255,1.5
3.12E-05,20003,0.872443,1.5
1.04E-05,20003,0.904934,1.5
10.41,20003,0.881862,1.6
3.123,20003,0.914081,1.6
1.041,20003,0.892601,1.6
0.3123,20003,0.874702,1.6
0.1041,20003,0.825776,1.6
0.03123,20003,0.823389,1.6
0.01041,20003,0.842482,1.6
0.003123,20003,0.865155,1.6
0.001041,20003,0.887828,1.6
0.0003123,20003,0.931981,1.6
0.0001041,20003,0.945107,1.6
3.12E-05,20003,0.904535,1.6
1.04E-05,20003,0.865155,1.6
10.41,10326,0.842105,1.1
3.123,10326,0.770335,1.1
1.041,10326,0.858852,1.1
0.3123,10326,0.770335,1.1
0.1041,10326,0.944976,1.1
0.03123,10326,0.803828,1.1
0.01041,10326,0.882775,1.1
0.003123,10326,0.880383,1.1
0.001041,10326,0.980861,1.1
0.0003123,10326,0.985646,1.1
0.0001041,10326,1.069378,1.1
3.12E-05,10326,1.043062,1.1
1.04E-05,10326,1.217703,1.1
10.41,10326,0.698819,1.2
3.123,10326,0.639764,1.2
1.041,10326,0.744094,1.2
0.3123,10326,0.673228,1.2
0.1041,10326,0.734252,1.2
0.03123,10326,0.69685,1.2
0.01041,10326,0.690945,1.2
0.003123,10326,0.748031,1.2
0.001041,10326,0.738189,1.2
0.0003123,10326,0.838583,1.2
0.0001041,10326,0.919291,1.2
3.12E-05,10326,0.809055,1.2
1.04E-05,10326,0.891732,1.2
10.41,10326,0.646123,1.3
3.123,10326,0.860835,1.3
1.041,10326,0.880716,1.3
0.3123,10326,0.767396,1.3
0.1041,10326,0.697813,1.3
0.03123,10326,0.785288,1.3
0.01041,10326,0.666004,1.3
0.003123,10326,0.797217,1.3
0.001041,10326,0.866799,1.3
0.0003123,10326,0.884692,1.3
0.0001041,10326,0.88668,1.3
3.12E-05,10326,0.93837,1.3
1.04E-05,10326,0.934394,1.3
10.41,10326,0.808511,1.4
3.123,10326,0.825532,1.4
1.041,10326,0.844681,1.4
0.3123,10326,0.965957,1.4
0.1041,10326,0.855319,1.4
0.03123,10326,0.804255,1.4
0.01041,10326,0.789362,1.4
0.003123,10326,0.857447,1.4
0.001041,10326,0.870213,1.4
0.0003123,10326,0.859574,1.4
0.0001041,10326,1.038298,1.4
3.12E-05,10326,1.097872,1.4
1.04E-05,10326,1.12766,1.4
10.41,10326,0.700787,1.5
3.123,10326,0.771654,1.5
1.041,10326,0.812992,1.5
0.3123,10326,0.834646,1.5
0.1041,10326,0.816929,1.5
0.03123,10326,0.720472,1.5
0.01041,10326,0.716535,1.5
0.003123,10326,0.822835,1.5
0.001041,10326,0.759843,1.5
0.0003123,10326,0.885827,1.5
0.0001041,10326,0.917323,1.5
3.12E-05,10326,0.994094,1.5
1.04E-05,10326,0.988189,1.5
10.41,10326,0.622951,1.6
3.123,10326,0.668488,1.6
1.041,10326,0.766849,1.6
0.3123,10326,0.757741,1.6
0.1041,10326,0.712204,1.6
0.03123,10326,0.635701,1.6
0.01041,10326,0.632058,1.6
0.003123,10326,0.752277,1.6
0.001041,10326,0.775956,1.6
0.0003123,10326,0.850638,1.6
0.0001041,10326,0.868852,1.6
3.12E-05,10326,0.850638,1.6
1.04E-05,10326,0.883424,1.6
10.41,10292,0.222944,1.1
3.123,10292,0.291126,1.1
1.041,10292,0.306277,1.1
0.3123,10292,0.258658,1.1
0.1041,10292,0.330087,1.1
0.03123,10292,0.304113,1.1
0.01041,10292,0.395022,1.1
0.003123,10292,0.343074,1.1
0.001041,10292,0.371212,1.1
0.0003123,10292,0.53355,1.1
0.0001041,10292,0.637446,1.1
3.12E-05,10292,0.781385,1.1
1.04E-05,10292,1.097403,1.1
10.41,10292,0.306165,1.2
3.123,10292,0.358412,1.2
1.041,10292,0.338558,1.2
0.3123,10292,0.342738,1.2
0.1041,10292,0.339603,1.2
0.03123,10292,0.343783,1.2
0.01041,10292,0.338558,1.2
0.003123,10292,0.3093,1.2
0.001041,10292,0.347962,1.2
0.0003123,10292,0.478579,1.2
0.0001041,10292,0.656217,1.2
3.12E-05,10292,0.855799,1.2
1.04E-05,10292,0.867294,1.2
10.41,10292,0.25154,1.3
3.123,10292,0.377823,1.3
1.041,10292,0.355236,1.3
0.3123,10292,0.319302,1.3
0.1041,10292,0.358316,1.3
0.03123,10292,0.361396,1.3
0.01041,10292,0.343943,1.3
0.003123,10292,0.36961,1.3
0.001041,10292,0.371663,1.3
0.0003123,10292,0.552361,1.3
0.0001041,10292,0.584189,1.3
3.12E-05,10292,0.809035,1.3
1.04E-05,10292,0.87269,1.3
10.41,10292,0.243269,1.4
3.123,10292,0.300962,1.4
1.041,10292,0.316346,1.4
0.3123,10292,0.281731,1.4
0.1041,10292,0.332692,1.4
0.03123,10292,0.373077,1.4
0.01041,10292,0.346154,1.4
0.003123,10292,0.324038,1.4
0.001041,10292,0.389423,1.4
0.0003123,10292,0.465385,1.4
0.0001041,10292,0.655769,1.4
3.12E-05,10292,0.791346,1.4
1.04E-05,10292,0.7125,1.4
10.41,10292,0.313603,1.5
3.123,10292,0.367601,1.5
1.041,10292,0.376947,1.5
0.3123,10292,0.360332,1.5
0.1041,10292,0.366563,1.5
0.03123,10292,0.343718,1.5
0.01041,10292,0.327103,1.5
0.003123,10292,0.344756,1.5
0.001041,10292,0.407061,1.5
0.0003123,10292,0.465213,1.5
0.0001041,10292,0.686397,1.5
3.12E-05,10292,0.821391,1.5
1.04E-05,10292,0.923157,1.5
10.41,10292,0.291037,1.6
3.123,10292,0.339376,1.6
1.041,10292,0.319235,1.6
0.3123,10292,0.333333,1.6
0.1041,10292,0.323263,1.6
0.03123,10292,0.372608,1.6
0.01041,10292,0.35146,1.6
0.003123,10292,0.340383,1.6
0.001041,10292,0.390735,1.6
0.0003123,10292,0.51863,1.6
0.0001041,10292,0.72004,1.6
3.12E-05,10292,0.831823,1.6
1.04E-05,10292,0.899295,1.6
